Article Title,Article Content,Date,Location,Author
Woman shot dead at Nepal-India border,"An unidentified gang shot dead a woman at no man’s land at the Nepal-India border near Musaharnia Rural Municipality-2 of Dhanusha on Saturday night.Dhanusha police quoting eyewitnesses said two men on a motorcycle opened fire at the woman aged around 26 at around 8:30pm, killing her on the spot. The miscreants then fled to India. Deputy Superintendent of Police Dev Prasad Gautam, who is also Dhanusha police spokesperson, said the Indian police are investigating as the body was found on the Indian side of the border. He added Nepali authorities are also trying to find out details of the incident.Police said the identity of the deceased is yet to be ascertained.The body has been taken to a hospital in India for post-mortem.","Published at : July 23, 2023",Dhanusha,Post Report
Four men held on gang-rape charge in Saptari,"Police arrested four people for their alleged involvement in gang-raping a 17-year-old girl in Kanchanrup Municipality of Saptari. Three were detained on Monday while the fourth was held on Tuesday, said police.According to Deputy Superintendent of Police Dipak Kumar Raya, the suspects barged into the victim’s room on Friday night, took her out of the house and committed the crime. The accused, as the victim told investigation officers, took her to an empty house in the village and raped her in turn. The incident came to light after the girl lodged a complaint at the Area Police Office in Kanchanrup on Monday.The preliminary police investigation shows that the girl’s friend had come to meet her late Friday evening. The accused men then entered her room and took photos of the girl and her friend and threatened to disclose the photos to their relatives and neighbours. The victim told the police that the suspects locked her friend inside the house before taking her to the empty house.According to Raya, the suspects also assaulted the victim and left her in her house after committing the crime. The victim said the perpetrators threatened to kill her if she disclosed the incident.The victim comes from a poor family who eke out a living as daily wage workers. Her father had gone to Janakpur, the provincial headquarters of Madhesh, for work when the incident occurred. The accused allegedly locked the girl’s mother and sister in another room.Police presented the accused to the district court on Tuesday. “Detailed investigation is underway into the incident after the court remanded them into custody,” said Raya.","Published at : July 18, 2023",Rajbiraj,Abdhesh Kumar Jha
Man found murdered in Rautahat,,,,
Many local units in Madhesh are mired in disputes among elected officials,"The growing hostility between Mahendra Mahato and Sunita Singh Budhathoki, mayor and deputy mayor of Mithila Municipality in Dhanusha, has affected important development projects and daily administrative works of the local unit.Mahato, who was elected mayor on a Nepali Congress ticket, had postponed the municipal council meeting scheduled for June 25 after knowing that Deputy Mayor Budhathoki, who is from the UML, along with other local government officials elected from the party were planning to boycott the meeting. No new date for the meeting has been announced. The council meeting was deferred last year as well due to similar differences between the two elected officials.Sangita Kumari Ram, the deputy mayor of Rautahat’s Brindaban Municipality, boycotted the annual municipal council meeting accusing the mayor, Binod Patel, of attempting to convene the meeting without her consent. She accused the mayor of preparing the policy and programme as well as the budget unilaterally without consulting her and other elected representatives. Owing to the protest, Brindaban’s annual council was postponed soon after the inaugural function of the municipal council. Kumari Ram has the support of 28 people’s representatives including six ward chiefs. The mayor and deputy mayor are currently not on speaking terms. Ram Ekbal Yadav, a resident of Brindaban Municipality-7, says he is frustrated at the way things are unfolding in the municipality. “We elected the representatives to the posts with the belief that they would work for the welfare of the people,” said Yadav. “But the long-standing disputes between the mayor and deputy mayor show that our welfare is not their priority. Their disputes crippled development activities here and service seekers like me are also deprived of administrative services.”Mayor Lalan Gupta and Deputy Mayor Muna Kumari Pokharel of Kanchanrup Municipality in Saptari district were both elected from the Congress. Expressing her dissatisfaction with the budget and the policy and programme, Pokharel proposed to postpone the ongoing municipal council on June 25. The deputy mayor has the support of the majority of members in the municipality.According to the provisions of the Local Government Operation Act and Intergovernmental Fiscal Arrangement Act, all the local units in Nepal are required to present their annual budgets by June 25 every year.Out of 136 local units in the Madhesh Province, 100 presented their budgets on time. However, as many as 36 local units failed to convene the annual council due to disputes among the people’s representatives. In most local units, there are long-running disputes between mayors and deputy mayors. The annual council meetings for the upcoming fiscal year of two sub-metropolises, 18 municipalities and 16 rural municipalities were obstructed in the Madhesh Province this fiscal year. There are a total of one metropolitan city, three sub-metropolitan cities, 73 municipalities and 59 rural municipalities in the Madhesh province, which is the country’s smallest province in terms of area. Seven local units in Saptari, six each in Parsa and Rautahat, five in Bara, four each in Sarlahi and Dhanusha, two in Mahottari and one local unit in Siraha have yet to hold their annual council meetings. Disputes among the people’s representatives have paralysed the local units in the province and affected daily administrative work and developmental activities. In Kankalini Municipality of Saptari, Mayor Birendra Majhi and Deputy Mayor Sarita Sipaliya Yadav are in a long-running tussle, which has led to an indefinite postponement of the annual municipal council meeting. Majhi represents the Janamat Party while Sipaliya won the local election on a Rastriya Janata Party ticket.Some of the issues that cause disputes among the mayors and deputy mayors include project selection, budget allocation, and use of office vehicles and other benefits. While the reason behind the disputes in most of the local units is that mayors and deputy mayors are from different parties, in some local units even those from the same political parties are also not on good terms. Haripurwa Municipality in Sarlahi district has been the victim of two rival factions of the Nepali Congress. Mayor Binod Sah and Deputy Mayor Sumitra Devi Gwarin are from the same party, but they accuse each other of working unilaterally ignoring the genuine concerns of the other. Due to the dispute, the supporters of the deputy mayor padlocked the municipality’s office for about three months, which has hugely affected development activities. The lock was removed only two weeks ago. “Of the total Rs340 million development budget, only around Rs15 million was spent in the current fiscal year. The budget of almost all development projects in Haripurwa has gone unspent due to the disputes,” said Nimesh Mishra, the chief administrative officer of the local unit. The Local Election Act-2017 makes it mandatory for each political party contesting local elections to field a woman for either chief or deputy chief of local units. Most of the parties confine women to the deputy chief/chair position. The legal provision requiring one of the two candidates for the chief or deputy chief at the local level to be a woman is applicable only when a party fields candidates for both positions. But this requirement does not apply when parties contest elections by forming alliances resulting in women losing both the positions..The Local Government Operation Act delegates various powers and authorities to the deputy mayor or vice-chair. The deputy mayor/vice-chair is the coordinator of the judicial committee, project monitoring committee, and the budget consultation committee, among others. But the deputy chiefs, mostly women, are denied the authority. The female people’s representatives complained that women elected officials are not even given the roles guaranteed by prevailing laws. “The male representatives think that they are powerful. The deputy chief has the authority to monitor development projects and issue recommendations for payment. But the male local unit chiefs have been exercising that authority,” said Punam Chaudhary, the deputy mayor of Garuda Municipality in Rautahat district.Chaudhary, six ward chiefs and 24 ward members staged a sit-in a few weeks ago stating that Mayor Kanthamani Jaisawal made decisions unilaterally by sidelining the deputy mayor and other people’s representatives. “We had to resort to protest as our powers and authorities were seized by the mayor,” said Chaudhary. Kanthamani, however, denied any wrongdoing. “We have not sidelined the deputy mayor in the decision-making process. We don’t know what her demands are,” he said.","Published at : July 12, 2023",Rautahat/janakpur,Shiva Puri &
Locals obstruct East-West Highway against ‘mistreatment’ by mayor,,,,
UML obstructs Madhesh provincial assembly meeting,"The CPN-UML on Saturday obstructed the meeting of the Madhesh provincial assembly, accusing Minister for Economic Affairs Sanjay Yadav of corruption by transferring government funds unlawfully.As soon as the provincial assembly meeting commenced, UML assembly member Lakhan Das demanded Chief Minister Saroj Kumar Yadav to clarify to the assembly why the conditional grants to the local level and funds of various ministries were transferred to projects only in Sarlahi at the end of the financial year.The meeting was adjourned for 10 minutes after Das said the party will not allow the provincial assembly to proceed until the chief minister clarifies the matter.Minister Yadav was scheduled to present a proposal to start deliberations on the appropriation bill in today’s meeting.The UML that has been obstructing proceedings in both the House of Representatives and National Assembly over the prime minister’s remarks for the last couple of days has resorted to the same approach in the provincial assembly as well.","Published at : July 8, 2023",Dhanusha,Santosh Singh
"Police fire into air, baton charge to disperse protestors in Saptari","Police on Wednesday baton-charged demonstrators in Saptari to disperse the crowd to resume traffic on the East-West highway.Locals from the Mahuli River area took to the streets on Wednesday protesting against the local government’s apathy to the yearly flooding in the area.The agitated locals had been staging protests on the Mahuli river bridge, disrupting the traffic along the Portaha section of the East-West highway on Wednesday.Police baton-charged protestors and fired a round of bullets into the air to disperse the crowd as security personnel and demonstrators engaged in an altercation during the former’s attempt to clear the road, said Superintendent of Police Narendra Kumar Karki. Traffic has now resumed on the highway, Karki added.Every monsoon, the areas around the Mahuli River experience floods as the river breaks the barricades and enters the homes of the locals. The locals accuse the government of not making any efforts to prevent disasters even as water levels in the river have started to rise.","Published at : July 5, 2023",Saptari,Abdesh Kumar Jha
Poor reproductive health plagues Musahar women,"Jaikal Devi Sada from Maintole in Sonama Rural Municipality-7 got married when she was all of 14. The criminalisation of child marriage in the country hasn’t stopped Musahar parents here to marry off their children that young. When she gave birth to her first daughter, Jaikal was 15. Now she is 27 and a mother of five children—the youngest is just three years old. But Jaikal does not have the resources to feed herself and her children. Most days, the family goes to bed hungry, with the young children pestering their mother for food.With her husband in India for employment, Jaikal shoulders the responsibility of taking care of her children all alone. And it has taken a toll on her health, already weakened by multiple pregnancies. Jaikal now suffers from reproductive health issues like irregular periods and infection in the uterus that have led to purulent drainage. She, however, has not visited a health facility for treatment. She can’t afford it.“My menstrual cycle is disrupted. I haven’t had my period since March. Most women in our settlement are going through similar health issues, but none of us has gone for a health checkup,” said Jaikal. “My husband is in Chennai in India. He has left me with our children in this tiny one-room hut but with no means to feed ourselves. My husband brings money when he comes, but he doesn’t come home often so I work for daily wages to look after the children.”Despite the struggles, Jaikal perseveres because she feels she has done her duty by giving birth to a son and is happy in the knowledge that her husband will now not leave her for her failure to produce a son. “I had three daughters before my son was born. My husband had warned me he would leave me for another if I didn’t bear him a son,” she said. “Frequent pregnancies made me weak, but I am happy that at least I have a son now.” Given a deeply patriarchal social structure, most families in Nepal still prefer a son over a daughter.There are 70 households in the Musahar settlement and most women have a similar story to tell.Most of the houses have only women, elderly, and children with men going to India to earn a living. Almost every family has four to five children and all families live in crammed huts. The women work as daily wage workers at construction sites to feed themselves and their families.According to the National Census 2021, 48.7 percent of girls between the ages of 18 and 20 in the rural municipality get married while 40.8 percent of girls get married between the ages of 15 and 17.Early marriage in the Musahar community is the driving force behind adolescent pregnancy wherein girls have sex before they are physically and emotionally ready, and when they are unaware of their reproductive health and the repercussions of frequent pregnancies. Kaushila Devi Sada, a 25-year-old woman who is seven months pregnant, is going to become a mother for the fifth time in 10 years. The pregnant woman neither has the money to eat nutritious food nor feed her children. When told how important a nutritious diet is for her and her unborn child, Kaushila says she managed without nutritious food in her previous pregnancies and is certain her latest pregnancy would also not be affected by lack of a good diet. There is a basic health service centre about 15 minutes from the Musahar settlement in Sonama-7, but the health services extended to pregnant women is limited. According to Ram Sanjog Mahato, public health inspector at the centre, the community health centre provides free examinations to those from disadvantaged groups and offers 45 types of medicine for free. “But the health centres are not fully equipped to diagnose diseases or run tests so most of the time it works as a referral centre,” he said. “There are only two health workers posted at the centre and neither is female. That is also why women do not visit the health centre with their reproductive health issues.”Under the federal government’s safe motherhood programme, pregnant women in the mountainous, hilly and Tarai regions get Rs3,000, Rs2,000 and Rs1,000, respectively. Additionally, a cash bonus of Rs800 is provided to mothers who complete all four antenatal checkups.But Kaushila who has never visited the health centre during any of her pregnancies is unaware of such benefits. She, like most women in the settlement, does not visit health centres fearing doctors will recommend various treatments. “If I go to a health facility, they will diagnose my disease and ask me to seek treatment for it in big hospitals. I don’t have the money to do that,” she said. “If I had money, I would rather spend it on food for my children.” Like Jaikal’s children, Kaushila’s children also keep fighting for food because there is not enough for everyone. According to Dr Manisha Bhardwaj, a gynaecologist at the district hospital, around 60 percent of women from poor and underprivileged communities in Mahottari who marry at a young age and give birth to children before the appropriate age face complex health problems.Giving birth before the age of 19 and after 35 is risky for both the mother and the infant, said Bhardwaj. “Being pregnant at a young age not only affects the health of the mother, but also affects the health of the newborn. Problems such as malnutrition, lack of weight gain and lack of the necessary development of bones appear in newborns,” she said. According to the Madhesh Province Health Directorate, 50 percent of women and children in Madhesh Province are at risk of malnutrition.Binod Yadav, director of Public Health Services at the Madhesh Province Health Directorate, said that due to early marriage, the number of malnutrition cases in Madhesh Province is becoming alarming. “The families of poor, Dalits, and other underprivileged communities are becoming malnourished due to early marriage. Weak financial conditions contribute to poor reproductive health in women and poor health in children,” said Yadav.Recently, the District Health Office conducted a cervical health examination of 2,121 women from all eight districts of Madhesh province in coordination with non-governmental organisations. The result of the examination drive showed 59 of the examinees have cervical cancer, and 562 women are at high risk of uterine prolapse.According to Pratibha Singh, focal person of the health office, the data also suggest that women from Muslim, Dalit, poor, and underprivileged communities, especially those who have married at a young age, given birth to many children, and done hard labour during pregnancy, are at high risk of uterine cancer.“During the health examination of 640 women in the three local units of Mahottari alone, 91 women had prolapsed uterus and 20 people had cervical cancer,” said Singh.Aagma Devi Sada, 25, says despite living with serious health issues, women in the settlement avoid health check ups. “We just live with it because we know the health workers will ask us to go to a hospital for treatment. What use are medicines when we are on an empty stomach most days,” she said.","Published at : July 3, 2023",Mahottari,Sunita Baral
Police seize 262 kg of cannabis,"Police have seized 262 kg of marijuana hidden inside a truck with an Indian number on the Birgunj-Pathalaiya road section under Jitpursimara Sub-Metropolitan City on Friday.According to DSP Purushottam Singh Pandey, spokesman of the District Police Office, the truck was parked on the road near a hotel, and the bust was conducted based on an anonymous tip.   The driver of the truck is absconding, so a search is underway to hunt down the driver and the owner of the contraband for necessary action, said Pandey.","Published at : June 30, 2023",Bara,Post Report
Youths deprived of citizenship finally find happiness,"Indrajit Safi is an engineer by profession. A resident of Dhanusha district, he was on the forefront of the longstanding struggle of thousands of youths deprived of citizenship for years. He spearheaded a sit-in and confrontation at Maitighar in Kathmandu, almost every day ever since the Supreme Court issued an interim order in response to a writ petition filed against President Ramchandra Paudel’s authentication of new amendments to the Citizenship Act. Indrajit’s struggle finally paid off on Sunday as the apex court on Thursday cleared the way for the implementation of new amendments to the Citizenship Act.Indrajit, along with his mother Sonawati and three brothers, reached the District Administration Office (DAO) in Dhanusha in the first hour on Sunday and submitted all required documents. Indrajit and his three brothers received citizenship by descent from Chief District Officer Kashiraj Dahal.“This moment has turned all the hardships including those we endured during protests at Maitighar into happiness. I wish nobody will have to struggle for citizenship when they have to focus on studies and make a career,” Indrajit told the Post after he acquired citizenship.After Indrajit and his brothers were handed over citizenship certificates they hugged their mother. They came down where many people were queuing for citizenship, and took a family photo with the queue in the background. They posted the photo on social media and shared happiness. Indrajit is the central chairman of the struggle committee of the people deprived of citizenship. The 31-year-old engineer is a resident of ward 3 of Ganeshman Charnath Municipality in Dhanusha. He and his brother could not acquire citizenship when they attained the required age for citizenship. His brothers Ranjit, 29, Chhotu, 22, and Rabin, 21, were visibly elated and credited Indrajit’s long struggle for the joyous moment..Indrajit has a long history of struggle for citizenship. He had been running from pillar to post for citizenship. “Earlier, I didn’t care much about citizenship, thinking that both my parents have citizenship and I could acquire it easily. I went to Kathmandu to study grade 11 and 12 after passing the School Leaving Certificate in 2013. I was asked to furnish a citizenship certificate to get enrolled for engineering,” Indrajit shared his ordeal.“I immediately went to Dhanusha to get citizenship. But the district administration office returned me empty handed stating that the Supreme Court prevented people like me from acquiring citizenship certificates,” said Indrajit.According to him, the DAO employees assured him that a new law would be formulated so that children of the people who acquired Nepali citizenship by birth would get citizenship. “I waited for two years for citizenship. Later I went to India to study engineering after learning that a citizenship certificate was not required to study there,” said Indrajit.Many people like Indrajit have acquired citizenship after the new amendments of the Citizenship Act came into implementation across the nation. They are now relieved from ‘statelessness’.“I now feel that I am a citizen of Nepal. My happiness has no bound for being Nepali citizen. I will work for my country,” said Indrajit, a civil engineer. Renu Kumari Yadav of Bishnupur in Siraha also acquired citizenship. She married a few years ago and gave birth to a daughter. But her child was deprived of birth registration as Renu did not have a citizenship certificate. “I feel that I have won a big battle. It took just about half an hour to get citizenship after fulfilling the necessary process and documents,” said an elated Renu proudly holding her citizenship card.On Sunday and Monday, the DAO, Parsa was crowded mainly with the youths who waited in serpentine queues for citizenship. They seemed a bit anxious and in a hurry fearing that the Supreme Court or any higher authorities could issue another order to prevent the implementation of the new amendment to the Citizenship Act.“I was in a panic until I got my citizenship. Finally I am a citizen of my country,” said Bhim Chaube, a 23-year-old man from Birgunj Metropolis-6 in Parsa. He complained that he had been offered to work as an accountant in a multinational company along the Parsa-Bara Industrial Corridor last year, but he could not take the offer as he did not have a citizenship. “Now that I have a citizenship certificate, I will find a good job,” said Chaube. According to Binaya Kumar Shrivastav, spokesman at the DAO in Parsa, around 70 people who were earlier deprived of citizenship, acquired citizenship on Sunday alone.In Morang, Niraj Kamat who attempted to self-immolate at Maitighar in the first week of June protesting the Supreme Court’s interlocutory interim order not to implement the new amendments of the Citizenship Act, received citizenship on Monday. Chief District Officer of Morang Birendra Kumar Yadav handed him the citizenship certificate.“I was deprived of opportunities and benefits provided by the state due to the lack of citizenship. I returned from the mouth of death and finally acquired citizenship. Our protests finally paid off,” said Kamat, aged 25, of Katahari Rural Municipality-4. He said his dream to be a police officer was ruined due to the lack of citizenship and he could not continue his studies in desperation. According to him, his father Kisun Dev Kamat had acquired citizenship by birth while his mother Gulab Devi Chaudhary had acquired citizenship by descent, but he was deprived of citizenship. The Supreme Court on Thursday cleared the way for the implementation of new amendments to the Citizenship Act that were authenticated by President Paudel. A division bench of justices Ananda Mohan Bhattarai and Kumar Regmi decided not to give continuity to the interlocutory interim order earlier issued by the single bench of Justice Manoj Sharma. Hearing the writ petition filed by senior advocates Surendra Bhandari and Bal Krishna Neupane, the apex court on June 4 had ordered authorities not to enforce the new amendments. The petitioners had filed the petition at the apex court following the President’s authentication of the amendment bill, stating that President Paudel had endorsed the Citizenship Bill unconstitutionally. The court’s latest order has cleared the way for thousands of children of parents who got citizenship by birth to acquire citizenship by descent. The new amendment is expected to benefit around 400,000 people. President Ram Chandara Paudel on May 31 had authenticated the bill—the same one that his predecessor Bidya Devi Bhandari had twice refused to endorse—after repeated requests from the government followed by a series of consultations with legal and political experts.(With inputs from Deo Narayan Sah in Morang)","Published at : June 27, 2023",Janakpur/parsa,Ajit Tiwari &
